Trial,Reaction_Time,Response,Coherence,Direction,Key_Pressed,Radius,Theta,X,Y
47,3.921631,True,0.33,left,LeftArrow,0.7625728,305.6665,0.4446303,-0.6195329
48,9.324341,False,0.33,down,RightArrow,0.5251117,227.3432,-0.3558187,-0.3861805
49,20.34476,True,0.33,down,DownArrow,3.996359,313.1261,2.731934,-2.916748
50,3.091095,True,0.33,down,DownArrow,2.88602,225.7445,-2.014036,-2.067068
51,2.698364,False,0.33,down,LeftArrow,1.534141,317.6367,1.133557,-1.033749
52,1.822662,True,0.33,left,LeftArrow,1.40654,108.4149,-0.4443203,1.334517
53,4.330719,True,0.33,left,LeftArrow,3.327703,133.4957,-2.290457,2.414003
54,6.69989,False,0.33,right,LeftArrow,3.243326,223.2243,-2.36334,-2.221213
55,5.056122,True,0.33,left,LeftArrow,0.2936993,146.57,-0.2451094,0.1618043
56,4.184021,True,0.33,up,UpArrow,0.02981806,43.26189,0.02171437,0.02043533
57,1.323334,True,0.33,left,LeftArrow,3.073557,148.7345,-2.62719,1.595189
58,3.72229,True,0.33,right,RightArrow,1.064048,250.8713,-0.3486787,-1.005296
59,4.52301,True,0.33,down,DownArrow,1.733337,329.1758,1.488492,-0.8881707
60,4.792572,False,0.33,up,RightArrow,2.692345,264.8146,-0.2433295,-2.681327
61,4.135468,False,0.33,right,DownArrow,1.975795,4.433498,1.969883,0.1527328
62,3.714844,True,0.33,down,DownArrow,0.4642773,326.0431,0.3850984,-0.2593311
63,2.910553,True,0.33,left,LeftArrow,0.2365947,317.7325,0.1750831,-0.1591319
64,2.265839,True,0.33,up,UpArrow,2.501767,146.6761,-2.090422,1.3744
65,6.583649,True,0.33,down,DownArrow,3.78942,198.8589,-3.585995,-1.224885
66,7.555298,False,0.33,down,LeftArrow,0.898912,159.375,-0.8412968,0.3166425
67,2.278503,True,0.33,up,UpArrow,2.03117,183.2749,-2.027853,-0.116035
68,2.318878,True,0.33,up,UpArrow,0.3717804,120.809,-0.1904176,0.3193146
69,1.01236,True,0.33,right,RightArrow,0.2673945,303.8584,0.1489767,-0.2220491
70,0.7575989,False,0.33,down,UpArrow,1.023447,19.19316,0.9665592,0.3364621
71,1.633453,False,0.33,down,RightArrow,2.77491,39.39174,2.14452,1.761011
72,3.055878,False,0.33,up,RightArrow,2.699453,129.7601,-1.7265,2.07515
73,2.799133,True,0.33,left,LeftArrow,1.160685,242.1655,-0.5419457,-1.026394
74,5.578247,True,0.33,right,RightArrow,2.18666,83.04282,0.2648645,2.17056
75,1.401123,False,0.33,left,RightArrow,0.9875884,334.799,0.8935889,-0.4205113
76,4.63089,True,0.33,up,UpArrow,2.078618,357.9784,2.077325,-0.07332548
77,1.022705,True,0.33,right,RightArrow,1.56338,173.0201,-1.551793,0.1899852
78,5.92572,False,0.33,down,RightArrow,3.085063,283.6518,0.7281375,-2.997904
79,3.57962,False,0.33,left,UpArrow,2.123507,96.2394,-0.2307888,2.110928
80,5.190582,False,0.33,down,UpArrow,1.845258,190.1759,-1.816232,-0.3260042
81,1.122192,True,0.33,up,UpArrow,2.095934,326.9655,1.757111,-1.142586
82,6.897827,True,0.33,down,DownArrow,3.618599,53.64847,2.14488,2.914403
83,6.364868,False,0.33,left,RightArrow,2.636759,141.5468,-2.064891,1.639734
84,9.184143,True,0.33,down,DownArrow,3.133227,191.0025,-3.075634,-0.5979842
85,3.686523,True,0.33,down,DownArrow,0.2785425,52.76386,0.1685465,0.2217612
86,1.100128,True,0.33,left,LeftArrow,0.6022663,331.701,0.5302868,-0.2855181
87,2.111572,False,0.33,down,RightArrow,0.7772117,231.9431,-0.4791068,-0.611976
88,12.06494,False,0.33,up,LeftArrow,2.519886,182.6825,-2.517124,-0.1179338
89,4.812683,False,0.33,up,LeftArrow,0.3002434,253.8702,-0.083412,-0.2884242
90,4.399597,True,0.33,down,DownArrow,0.3129249,75.25373,0.07965156,0.3026179
91,0.8558655,True,0.33,right,RightArrow,2.619875,123.2612,-1.436887,2.190685
92,5.289429,False,0.33,down,RightArrow,0.6118331,251.0279,-0.198912,-0.5785964
93,0.9321594,True,0.33,up,UpArrow,1.510629,318.2737,1.127431,-1.005434
94,0.7138672,True,0.33,up,UpArrow,2.940819,74.40276,0.790708,2.832525
95,0.9444275,True,0.33,right,RightArrow,2.176636,230.6082,-1.381335,-1.682158
96,2.766846,False,0.33,down,UpArrow,0.7686734,248.1993,-0.2854687,-0.7136991
97,12.02118,True,0.33,down,DownArrow,3.862195,0.2350044,3.862163,0.01584114
98,1.755096,False,0.33,down,RightArrow,0.09567738,20.08288,0.0898599,0.03285361
99,1.089966,True,0.33,left,LeftArrow,1.286754,299.9297,0.6420099,-1.11515
100,0.6303711,True,0.33,up,UpArrow,1.847265,42.8953,1.353304,1.257361
101,6.414154,True,0.33,right,RightArrow,3.986203,323.0641,3.186203,-2.395397
102,2.677063,True,0.33,right,RightArrow,2.36951,127.7853,-1.451808,1.872654
103,1.374359,True,0.33,up,UpArrow,3.77205,25.12084,3.415268,1.601344
104,0.7763672,True,0.33,right,RightArrow,0.180521,233.5028,-0.107371,-0.1451183
105,1.089661,True,0.33,down,DownArrow,3.906212,7.127037,3.876031,0.4846427
106,1.377686,True,0.33,left,LeftArrow,0.1494508,344.9144,0.1443004,-0.03889636
107,0.7121887,True,0.33,up,UpArrow,3.65231,218.6946,-2.850589,-2.283311
108,1.089722,True,0.33,up,UpArrow,3.569505,62.19764,1.664899,3.157448
109,2.335266,True,0.33,up,UpArrow,3.346716,327.6809,2.828254,-1.78927
110,1.933777,True,0.33,down,DownArrow,0.2996898,67.80049,0.1132327,0.2774749
111,0.911377,True,0.33,right,RightArrow,2.024686,299.1256,0.9854658,-1.768675
112,0.7330322,False,0.33,down,UpArrow,1.752255,338.9074,1.634853,-0.6305957
113,2.290344,False,0.33,down,UpArrow,2.877015,181.278,-2.876299,-0.06416953
114,2.078125,False,0.33,down,RightArrow,1.643204,59.48346,0.8343982,1.415592
115,2.056702,False,0.33,down,UpArrow,0.1873536,276.4302,0.02098229,-0.186175
116,1.189819,True,0.33,left,LeftArrow,0.07133341,36.03194,0.05768656,0.04196088
117,3.343872,False,0.33,up,LeftArrow,0.7717018,313.6748,0.5329095,-0.5581498
118,1.089417,True,0.33,right,RightArrow,0.4369621,10.95594,0.4289979,0.08304646
119,6.033752,True,0.33,down,DownArrow,1.453805,107.3948,-0.4346215,1.387319
120,2.778137,True,0.33,down,DownArrow,0.8533478,233.3427,-0.5094727,-0.6845729
121,8.909729,False,0.33,down,RightArrow,3.122372,57.71474,1.667767,2.639651
122,1.156006,True,0.33,up,UpArrow,2.7085,169.5345,-2.663443,0.4919825
